,waktu,id,username,teks
0,2022-07-16 08:41:53,1548226401404583936,cha,"b'Hmmmmmm, x suka coding tp kenapala syelalu end up dgn coding. Cita cita aku nk jadi data analyst ja bukan programme\xe2\x80\xa6 https://t.co/vYTHJalbI5'"
1,2022-07-16 07:45:35,1548212232865329153,radityari,b'@txtfrombrand Di tangan fakhira mah sudah terblokir lapaknya @Fakhirayasminz \nBismillah data analyst shopee\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbd'
2,2022-07-16 07:42:39,1548211493745074178,nattokki,"b'@nonntft @collegemenfess Ga sekedar perkenalan aja kok. Di jelasin gambaran besarnya dari data analyst itu apa, sam\xe2\x80\xa6 https://t.co/Xc24HhLy5t'"
3,2022-07-16 06:23:19,1548191532372881413,Henry S 🐝,b'@Darrod_ @legolard Ada 1 jurnalis Tifo udah jadi data analyst di RB Leipzig. Scattergram guy.'
4,2022-07-16 04:49:40,1548167961579769856,COLLE,b'[cm] kalian yg sekarang menekuni data analyst belajar awalnya darimana ? aku tertarik tp blm ada basicnya samsek'
5,2022-07-16 04:19:35,1548160389745037312,elle k/ia,"b'@socrates1920 Aku jadinya milih yg MES data analyst, tertariknya dpt benefit inii, terus dapet uang pulsa per bulan https://t.co/9cGhvh8gCq'"
6,2022-07-16 03:56:49,1548154660535803905,Cobain dong ngemil @nagihcoklat🍫🥰,"b'RT @txtdrmahasiswa_: Jurusan Matematika, Statistika, ImuEkonomi/Akuntansi\n\nJurusan ini banyak berkecimpung dengan mengelola dan analisa soa\xe2\x80\xa6'"
7,2022-07-16 03:37:16,1548149742793736195,ffm,"b'@khalidmeister Wah menarik ini, sayangnya bukan data analyst \xf0\x9f\x98\xa5'"
8,2022-07-16 03:33:53,1548148890213711874,eskrimkampina,b'@worksfess Halo min aku juga lulusan matematikaa. Skrng jadi data analyst. Menurutku km bisa belajar R dulu nder buat basic hehe'
9,2022-07-16 03:13:08,1548143670909476865,bıblǝ,b'@worksfess ikut pelatihan data analyst di dqlab nder. sayang bgt ilmu mtk nyaa bisa diasah lebih mantap lagi ituu'
10,2022-07-16 03:10:09,1548142918971830272,Baca Rules (bit.ly/worksfess),"b'Work! Ada yg tau gak website buat cari proyekan data analyst? share info dong guys, makasih'"
11,2022-07-16 03:09:32,1548142761928364034,han ❤️‍🔥 MINGI,"b'@worksfess Ikut pelatihan nder, sayang bangettt ilmu di mtk nya pasti cocok jd data analyst/scientist'"
12,2022-07-16 02:43:52,1548136303572963328,han,"b'@collegemenfess Banyak nder, kalo mau belajar lagi mah bisa ke data analyst/scientist.'"
13,2022-07-16 02:39:22,1548135173442572288,JASA SPSS DAN SKRIPSI,b'@Jokitugsfess Aku kak akuu. Aku pegawai data analyst biasa tanganin data skripsi juga'
14,2022-07-15 23:13:48,1548083438905077760,Eng,"b'RT @nailafadhilah: Guys kl ada Data analyst/mau jadi Data analyst yang lagi cari kerja, DM aku ya~\n\ntech: HiveQL, Presto SQL, Python, Excel\xe2\x80\xa6'"
15,2022-07-15 23:03:58,1548080966102441990,intan herdana,"b'Kerja apa sih? Data analyst. La kan anak hukum? Sudah beralih profesi, melenceng banget sih tapi bisa kok cuma berk\xe2\x80\xa6 https://t.co/7ELOpZ6hpk'"
16,2022-07-15 17:01:48,1547989823234854920,Hafiz Kamis,b'@HalilMing Kick-off Data analyst tu perlukan kemahiran programming ke? Macam mana nak tahu potential diri ke arah mana ye?'
17,2022-07-15 16:46:32,1547985980866457602,COLLE,"b'[cm] gaiss yg ikut stupen msib batch 3 di myedusolve, pathway data analyst udh pada keterima??'"
18,2022-07-15 16:28:45,1547981503346290689,Austin Fraser Jobs,b'New #job: Data Analyst Location: Camberley Salary: 50kpa - 60kpa .. https://t.co/52z3cyAYz5 #jobs #hiring'
19,2022-07-15 16:23:19,1547980138377539584,@inisayaraka,b'Ciee mulai pakai data analyst nii \xf0\x9f\x98\x82 https://t.co/GylKK1WXy3'
20,2022-07-15 15:07:02,1547960939869523968,nama tak bole kosong,b'RT @nmonarizqa: Wkwkw btw ga semua bootcamp created equal dan ga semua kerjaan data created equal juga. Ada yang barriernya tinggi (MLOps m\xe2\x80\xa6'
21,2022-07-15 14:48:49,1547956355289726977,blue,"b'@worksfess hallo aku ada loker buat data analyst, UI/UX writer, software development engineer dan IT lainnya dan fu\xe2\x80\xa6 https://t.co/3mor9rZuhs'"
22,2022-07-15 14:42:36,1547954789488939008,J,b'belajar data analyst phyton lama-lama kepala gue hampir mirip ular sanca keracunan data\xf0\x9f\xa5\xba\xf0\x9f\xa5\xba'
23,2022-07-15 14:34:41,1547952798213742592,UGM_FESS,b'Yukk guys yg pengen belajar dasar data analyst  bisa daftar yah ugm_fess kita pake excel kok jadi gk perlu pemahama\xe2\x80\xa6 https://t.co/JBsu1iCG9E'
24,2022-07-15 14:14:13,1547947649311346691,Baca Rules (bit.ly/worksfess),b'Work! Mau nanya buat yang berkarir di bidang data khususnya data analyst/data scientist itu kerjanya wfo atau wfh ya? Makasih sebelumnya'
25,2022-07-15 14:02:38,1547944733263409153,janitra,b'Mari banting setir ke data analyst'
26,2022-07-15 13:49:16,1547941368508456973,blue,"b'@hrjislight hallo aku ada loker buat data analyst, UI/UX writer, software development engineer dan IT lainnya. Mung\xe2\x80\xa6 https://t.co/I5gvyTKX56'"
27,2022-07-15 13:49:08,1547941337538101248,Robby Yufriendra,"b'@fdly_aahmd Gw lumayan suka matematika dan statistik, pengen bgt belajar soal data analyst gitu. Ada rekomendasi tempat belajar free ga bro?'"
28,2022-07-15 12:51:04,1547926724515483648,Hiring Now in Tech,b'RT @ai_jobsNET: HIRING: Data Analyst (AI Platform) / Seoul https://t.co/5TkhlZduX8 #AI #MachineLearning #DataJobs #Jobsearch #MLjobs #bigda\xe2\x80\xa6'
29,2022-07-15 12:03:47,1547914823224029184,ai-jobs.net,b'HIRING: Data Analyst (AI Platform) / Seoul https://t.co/5TkhlZduX8 #AI #MachineLearning #DataJobs #Jobsearch\xe2\x80\xa6 https://t.co/4xgleMOP5K'
30,2022-07-15 11:36:18,1547907907911847936,Txt Dari Mahasiswa,"b'Jurusan Matematika, Statistika, ImuEkonomi/Akuntansi\n\nJurusan ini banyak berkecimpung dengan mengelola dan analisa\xe2\x80\xa6 https://t.co/wUv89v0Qsh'"
31,2022-07-15 11:25:51,1547905275813711873,elle k/ia,b'@Erlangga1903 @collegemenfess @myedusolve Oalahh samaa aku baru batch 3 ini juga tp ambil yg data analyst'
32,2022-07-15 09:22:02,1547874117650907136,feb,b'Beberapa minggu ini lagi tertarik sama Job Data Analyst &amp; Data Scientist'
33,2022-07-15 09:21:59,1547874104694702080,bith,b'YaAllah gw buta statistika masa dikasih jadi data analyst \xf0\x9f\x98\xad'
34,2022-07-15 09:17:45,1547873038040846337,CODINGFESS,b'code; mau tanya sertifikasi data science atau data analyst dari certiport lumayan legit ga si guys? atau ada saran tempat sertifikasi lain?'
35,2022-07-15 07:23:02,1547844171448614912,Bitter Chocolate,b'@collegemenfess Tergantung km maunya dmn sih soalnya sama2 banyak dibutuhin. Statistik jg banyak butuh data analyst\xe2\x80\xa6 https://t.co/SYb4FUQp6A'
36,2022-07-15 07:20:56,1547843640541999105,x,b'@worksfess Ada yg mau belajar data analyst ga ya? Cari partner biar ilmu gue ga nguap'
37,2022-07-15 07:09:20,1547840721163468802,vk,b'@collegemenfess Statistika trs nt jd data analyst \xf0\x9f\x99\x82\xf0\x9f\x91\x8d'
38,2022-07-15 07:06:10,1547839925839486976,sukini,"b'@collegemenfess Agak jauh ya bedanya\n\nKalo aku anak stat sih, prospek kerja banyak dan data analyst lagi banyak dib\xe2\x80\xa6 https://t.co/DdMPniJ42f'"
39,2022-07-15 06:04:24,1547824382063419393,RizalAlif15,"b'@worksfess Mohon maaf mau nanya, kalau mau jadi data analyst, apa aja yang bisa disiapkan ya? Tia.'"
40,2022-07-15 05:46:32,1547819883957628932,ray!,"b'@sbmptnfess Stat uns, stat bs jd data analyst(?) Yg dibutuhin di masa depan'"
41,2022-07-15 05:32:39,1547816393609216001,Yth. Bpk. Fawwaz,b'@collegemenfess Kalo punya uang segitu mending gue ikut full stack data analyst revoU yg job guarantee'
42,2022-07-15 04:58:32,1547807807189032960,hanee yaaa,"b'@chainswwman makasih banyak kak, btw itu yg data analyst dari mitra apa ka? myedu?'"
43,2022-07-15 04:29:12,1547800424194813953,elle k/ia,b'@swemongko Insyaallah ambil yg data analyst\xf0\x9f\x98\x81'
