,waktu,id,username,teks
0,2022-07-16 11:41:04,1548271495163842560,PututPranoto,b'RT @budimandjatmiko: Pagi ini putriku (sbg cloud engineer) &amp; tim-nya (programmer &amp; data supporter) sedang presentasi problem diagnosa stunt\xe2\x80\xa6'
1,2022-07-16 11:33:40,1548269631097667585,Youfree Yus,b'RT @budimandjatmiko: Pagi ini putriku (sbg cloud engineer) &amp; tim-nya (programmer &amp; data supporter) sedang presentasi problem diagnosa stunt\xe2\x80\xa6'
2,2022-07-16 11:27:20,1548268039153815552,Joe,b'RT @budimandjatmiko: Pagi ini putriku (sbg cloud engineer) &amp; tim-nya (programmer &amp; data supporter) sedang presentasi problem diagnosa stunt\xe2\x80\xa6'
3,2022-07-16 11:20:59,1548266441480507392,Beno,b'RT @budimandjatmiko: Pagi ini putriku (sbg cloud engineer) &amp; tim-nya (programmer &amp; data supporter) sedang presentasi problem diagnosa stunt\xe2\x80\xa6'
4,2022-07-16 11:09:31,1548263555199561729,St. Budi,b'RT @budimandjatmiko: Pagi ini putriku (sbg cloud engineer) &amp; tim-nya (programmer &amp; data supporter) sedang presentasi problem diagnosa stunt\xe2\x80\xa6'
5,2022-07-16 10:38:54,1548255851924049920,Mbud,b'RT @budimandjatmiko: Pagi ini putriku (sbg cloud engineer) &amp; tim-nya (programmer &amp; data supporter) sedang presentasi problem diagnosa stunt\xe2\x80\xa6'
6,2022-07-16 10:32:46,1548254307203837953,🇲🇨 TJ Hoois 🇲🇨 🕊️,b'RT @budimandjatmiko: Pagi ini putriku (sbg cloud engineer) &amp; tim-nya (programmer &amp; data supporter) sedang presentasi problem diagnosa stunt\xe2\x80\xa6'
7,2022-07-16 10:31:34,1548254005151006722,Cempluk🇮🇩,b'RT @budimandjatmiko: Pagi ini putriku (sbg cloud engineer) &amp; tim-nya (programmer &amp; data supporter) sedang presentasi problem diagnosa stunt\xe2\x80\xa6'
8,2022-07-16 10:02:17,1548246635578175488,bang gery,b'RT @budimandjatmiko: Pagi ini putriku (sbg cloud engineer) &amp; tim-nya (programmer &amp; data supporter) sedang presentasi problem diagnosa stunt\xe2\x80\xa6'
9,2022-07-16 09:54:57,1548244789723746305,Yo Yo Ayo,b'RT @budimandjatmiko: Pagi ini putriku (sbg cloud engineer) &amp; tim-nya (programmer &amp; data supporter) sedang presentasi problem diagnosa stunt\xe2\x80\xa6'
10,2022-07-16 09:51:24,1548243895850377216,Rony 07,b'RT @budimandjatmiko: Pagi ini putriku (sbg cloud engineer) &amp; tim-nya (programmer &amp; data supporter) sedang presentasi problem diagnosa stunt\xe2\x80\xa6'
11,2022-07-16 09:49:23,1548243390600720384,Tivad👁‍🗨🌏⏳,b'RT @budimandjatmiko: Pagi ini putriku (sbg cloud engineer) &amp; tim-nya (programmer &amp; data supporter) sedang presentasi problem diagnosa stunt\xe2\x80\xa6'
12,2022-07-16 09:48:37,1548243197067141120,NitNot ❘,b'RT @budimandjatmiko: Pagi ini putriku (sbg cloud engineer) &amp; tim-nya (programmer &amp; data supporter) sedang presentasi problem diagnosa stunt\xe2\x80\xa6'
13,2022-07-16 09:12:56,1548234216697053184,M Ircham S,b'RT @budimandjatmiko: Pagi ini putriku (sbg cloud engineer) &amp; tim-nya (programmer &amp; data supporter) sedang presentasi problem diagnosa stunt\xe2\x80\xa6'
14,2022-07-16 09:05:08,1548232251162251265,Ahmad Iyat Jabbari,b'RT @budimandjatmiko: Pagi ini putriku (sbg cloud engineer) &amp; tim-nya (programmer &amp; data supporter) sedang presentasi problem diagnosa stunt\xe2\x80\xa6'
15,2022-07-16 08:13:24,1548219234827718656,JOJO,b'RT @budimandjatmiko: Pagi ini putriku (sbg cloud engineer) &amp; tim-nya (programmer &amp; data supporter) sedang presentasi problem diagnosa stunt\xe2\x80\xa6'
16,2022-07-16 08:11:50,1548218837639630848,Vacancies in Canada,b'Senior Data Engineer\nhttps://t.co/pl8Aeu84Uf'
17,2022-07-16 08:10:49,1548218581560999937,Hasanudin,b'RT @budimandjatmiko: Pagi ini putriku (sbg cloud engineer) &amp; tim-nya (programmer &amp; data supporter) sedang presentasi problem diagnosa stunt\xe2\x80\xa6'
18,2022-07-16 08:09:54,1548218354061942785,Lai 🇮🇩 😎,b'RT @budimandjatmiko: Pagi ini putriku (sbg cloud engineer) &amp; tim-nya (programmer &amp; data supporter) sedang presentasi problem diagnosa stunt\xe2\x80\xa6'
19,2022-07-16 07:59:23,1548215707908812800,Abdulla Emir Pramudya⁷ #HOKI,"b'RT @VeritasArdentur: QA engineer.\n\nTugasnya adalah coding automated test programs.\n\nSebelumnya dia non programmer, karirnya dimulai dari Da\xe2\x80\xa6'"
20,2022-07-16 07:49:57,1548213333001588739,Zona,b'RT @budimandjatmiko: Pagi ini putriku (sbg cloud engineer) &amp; tim-nya (programmer &amp; data supporter) sedang presentasi problem diagnosa stunt\xe2\x80\xa6'
21,2022-07-16 07:39:33,1548210715030585345,Papi Jamssimbolon,b'RT @budimandjatmiko: Pagi ini putriku (sbg cloud engineer) &amp; tim-nya (programmer &amp; data supporter) sedang presentasi problem diagnosa stunt\xe2\x80\xa6'
22,2022-07-16 07:37:04,1548210088376029185,LakTutus,b'RT @budimandjatmiko: Pagi ini putriku (sbg cloud engineer) &amp; tim-nya (programmer &amp; data supporter) sedang presentasi problem diagnosa stunt\xe2\x80\xa6'
23,2022-07-16 07:36:13,1548209874336501761,Ken Hans 🇲🇨,b'RT @budimandjatmiko: Pagi ini putriku (sbg cloud engineer) &amp; tim-nya (programmer &amp; data supporter) sedang presentasi problem diagnosa stunt\xe2\x80\xa6'
24,2022-07-16 07:36:03,1548209832708042752,Tohid_Siswanto2 🇮🇩,b'RT @budimandjatmiko: Pagi ini putriku (sbg cloud engineer) &amp; tim-nya (programmer &amp; data supporter) sedang presentasi problem diagnosa stunt\xe2\x80\xa6'
25,2022-07-16 07:35:42,1548209746423193601,Arie®,b'RT @budimandjatmiko: Pagi ini putriku (sbg cloud engineer) &amp; tim-nya (programmer &amp; data supporter) sedang presentasi problem diagnosa stunt\xe2\x80\xa6'
26,2022-07-16 07:34:48,1548209519381352448,Patricia Wijaya,b'RT @budimandjatmiko: Pagi ini putriku (sbg cloud engineer) &amp; tim-nya (programmer &amp; data supporter) sedang presentasi problem diagnosa stunt\xe2\x80\xa6'
27,2022-07-16 07:33:33,1548209207232499714,Din,b'RT @budimandjatmiko: Pagi ini putriku (sbg cloud engineer) &amp; tim-nya (programmer &amp; data supporter) sedang presentasi problem diagnosa stunt\xe2\x80\xa6'
28,2022-07-16 07:33:13,1548209121043681281,🇮🇩MinieTweets🇮🇩 (ig : minieStory_),b'RT @budimandjatmiko: Pagi ini putriku (sbg cloud engineer) &amp; tim-nya (programmer &amp; data supporter) sedang presentasi problem diagnosa stunt\xe2\x80\xa6'
29,2022-07-16 07:27:31,1548207688034553857,DewiTuwuhMartoatmojo,b'RT @budimandjatmiko: Pagi ini putriku (sbg cloud engineer) &amp; tim-nya (programmer &amp; data supporter) sedang presentasi problem diagnosa stunt\xe2\x80\xa6'
30,2022-07-16 07:27:12,1548207608762613761,Aleph,b'RT @budimandjatmiko: Pagi ini putriku (sbg cloud engineer) &amp; tim-nya (programmer &amp; data supporter) sedang presentasi problem diagnosa stunt\xe2\x80\xa6'
31,2022-07-16 07:26:21,1548207392877252609,adududuhh....kau tak percayaaa dududuh,b'RT @budimandjatmiko: Pagi ini putriku (sbg cloud engineer) &amp; tim-nya (programmer &amp; data supporter) sedang presentasi problem diagnosa stunt\xe2\x80\xa6'
32,2022-07-16 07:24:31,1548206931386707970,Henry Manampiring,b'RT @budimandjatmiko: Pagi ini putriku (sbg cloud engineer) &amp; tim-nya (programmer &amp; data supporter) sedang presentasi problem diagnosa stunt\xe2\x80\xa6'
33,2022-07-16 07:22:33,1548206435502530560,N Alexendry Tang,b'RT @budimandjatmiko: Pagi ini putriku (sbg cloud engineer) &amp; tim-nya (programmer &amp; data supporter) sedang presentasi problem diagnosa stunt\xe2\x80\xa6'
34,2022-07-16 07:19:10,1548205585614589956,Fortis Est Veritas,"b'QA engineer.\n\nTugasnya adalah coding automated test programs.\n\nSebelumnya dia non programmer, karirnya dimulai dari Data labeller.'"
35,2022-07-16 06:20:03,1548190708854534146,CodingJobs,"b'Reti Spa is hiring a Azure Data Engineer in Milano, Lombardia, Remote: https://t.co/xFJM8n3kzZ #Engineer'"
36,2022-07-16 06:08:11,1548187723764486144,Mega Arumi,b'RT @budimandjatmiko: Pagi ini putriku (sbg cloud engineer) &amp; tim-nya (programmer &amp; data supporter) sedang presentasi problem diagnosa stunt\xe2\x80\xa6'
37,2022-07-16 06:04:19,1548186747716005891,Kratos the Great,b'RT @budimandjatmiko: Pagi ini putriku (sbg cloud engineer) &amp; tim-nya (programmer &amp; data supporter) sedang presentasi problem diagnosa stunt\xe2\x80\xa6'
38,2022-07-16 05:57:17,1548184979909120006,Manoban,b'RT @budimandjatmiko: Pagi ini putriku (sbg cloud engineer) &amp; tim-nya (programmer &amp; data supporter) sedang presentasi problem diagnosa stunt\xe2\x80\xa6'
39,2022-07-16 05:53:56,1548184137487761408,🇲🇨PANCASILA SAKTI🇲🇨,b'RT @budimandjatmiko: Pagi ini putriku (sbg cloud engineer) &amp; tim-nya (programmer &amp; data supporter) sedang presentasi problem diagnosa stunt\xe2\x80\xa6'
40,2022-07-16 05:24:14,1548176662994759682,Abdulla Emir Pramudya⁷ #HOKI,b'RT @budimandjatmiko: Pagi ini putriku (sbg cloud engineer) &amp; tim-nya (programmer &amp; data supporter) sedang presentasi problem diagnosa stunt\xe2\x80\xa6'
41,2022-07-16 05:21:45,1548176036881649664,Aprilia,b'RT @budimandjatmiko: Pagi ini putriku (sbg cloud engineer) &amp; tim-nya (programmer &amp; data supporter) sedang presentasi problem diagnosa stunt\xe2\x80\xa6'
42,2022-07-16 04:39:44,1548165461962940417,Aryanto DjM,b'RT @budimandjatmiko: Pagi ini putriku (sbg cloud engineer) &amp; tim-nya (programmer &amp; data supporter) sedang presentasi problem diagnosa stunt\xe2\x80\xa6'
43,2022-07-16 04:22:45,1548161190257340416,🇮🇩 KADRUN BUSTER 🇮🇩,b'RT @budimandjatmiko: Pagi ini putriku (sbg cloud engineer) &amp; tim-nya (programmer &amp; data supporter) sedang presentasi problem diagnosa stunt\xe2\x80\xa6'
44,2022-07-16 03:26:51,1548147119554723840,GunungGamping🇲🇨,b'RT @budimandjatmiko: Pagi ini putriku (sbg cloud engineer) &amp; tim-nya (programmer &amp; data supporter) sedang presentasi problem diagnosa stunt\xe2\x80\xa6'
45,2022-07-16 03:08:21,1548142466397745153,Bang Ahmad,b'RT @budimandjatmiko: Pagi ini putriku (sbg cloud engineer) &amp; tim-nya (programmer &amp; data supporter) sedang presentasi problem diagnosa stunt\xe2\x80\xa6'
46,2022-07-16 02:59:57,1548140352577863680,Ary Bandung,b'RT @budimandjatmiko: Pagi ini putriku (sbg cloud engineer) &amp; tim-nya (programmer &amp; data supporter) sedang presentasi problem diagnosa stunt\xe2\x80\xa6'
47,2022-07-16 02:52:57,1548138587967062016,Rizmaya,b'RT @budimandjatmiko: Pagi ini putriku (sbg cloud engineer) &amp; tim-nya (programmer &amp; data supporter) sedang presentasi problem diagnosa stunt\xe2\x80\xa6'
48,2022-07-16 02:44:44,1548136520242331649,nothing_art,b'RT @budimandjatmiko: Pagi ini putriku (sbg cloud engineer) &amp; tim-nya (programmer &amp; data supporter) sedang presentasi problem diagnosa stunt\xe2\x80\xa6'
49,2022-07-16 02:42:51,1548136048857067522,C Aji Mahameru,b'RT @budimandjatmiko: Pagi ini putriku (sbg cloud engineer) &amp; tim-nya (programmer &amp; data supporter) sedang presentasi problem diagnosa stunt\xe2\x80\xa6'
50,2022-07-16 02:42:23,1548135928710852609,KuliPasar,b'RT @budimandjatmiko: Pagi ini putriku (sbg cloud engineer) &amp; tim-nya (programmer &amp; data supporter) sedang presentasi problem diagnosa stunt\xe2\x80\xa6'
51,2022-07-16 02:41:38,1548135743955931136,Budiman Sudjatmiko (IG: masbud_sudjatmiko),b'Pagi ini putriku (sbg cloud engineer) &amp; tim-nya (programmer &amp; data supporter) sedang presentasi problem diagnosa st\xe2\x80\xa6 https://t.co/lK9zLc2nTV'
52,2022-07-16 00:10:11,1548097627090104321,Hiring Now in Tech,b'RT @ai_jobsNET: HIRING: Senior Data Engineer / Remote - US https://t.co/OmJWtYruDK #AI #MachineLearning #DataJobs #Jobsearch #MLjobs #bigda\xe2\x80\xa6'
53,2022-07-16 00:05:28,1548096442887155713,Twitchi,b'RT @ai_jobsNET: HIRING: Senior Data Engineer / Remote - US https://t.co/OmJWtYruDK #AI #MachineLearning #DataJobs #Jobsearch #MLjobs #bigda\xe2\x80\xa6'
54,2022-07-16 00:04:10,1548096114678607873,ai-jobs.net,b'HIRING: Senior Data Engineer / Remote - US https://t.co/OmJWtYruDK #AI #MachineLearning #DataJobs #Jobsearch\xe2\x80\xa6 https://t.co/0AR2mzuwzq'
55,2022-07-15 21:05:28,1548051142071836673,Twitchi,"b'RT @ai_jobsNET: HIRING: Senior Data Engineer / Beirut Governorate, Lebanon https://t.co/nC7onMYEz9 #AI #MachineLearning #DataJobs #Jobsearc\xe2\x80\xa6'"
56,2022-07-15 21:05:16,1548051090418966528,ai-jobs.net,"b'HIRING: Senior Data Engineer / Beirut Governorate, Lebanon https://t.co/nC7onMYEz9 #AI #MachineLearning #DataJobs\xe2\x80\xa6 https://t.co/9Wh9wnuAY2'"
57,2022-07-15 19:28:46,1548026808146137090,Hiring Now in Tech,b'RT @ai_jobsNET: HIRING: Senior Data Engineer I / Chennai https://t.co/QYNekHZE9v #AI #MachineLearning #DataJobs #Jobsearch #MLjobs #bigdata\xe2\x80\xa6'
58,2022-07-15 16:56:45,1547988549504344067,Hiring Now in Tech,b'RT @ai_jobsNET: HIRING: Senior Data Engineer / Brazil https://t.co/2dmT32sIJ0 #AI #MachineLearning #DataJobs #Jobsearch #MLjobs #bigdata #D\xe2\x80\xa6'
